Symbol,Date,Close
AMZN,19-Mar-18,77.25
AMZN,20-Mar-18,79.33
AMZN,21-Mar-18,79.09
AMZN,22-Mar-18,77.25
AMZN,23-Mar-18,74.78
AMZN,26-Mar-18,77.79
AMZN,27-Mar-18,74.85
AMZN,28-Mar-18,71.57
AMZN,29-Mar-18,72.37
AMZN,02-Apr-18,68.6
AMZN,03-Apr-18,69.6
AMZN,04-Apr-18,70.53
AMZN,05-Apr-18,72.59
AMZN,06-Apr-18,70.26
AMZN,09-Apr-18,70.3
AMZN,10-Apr-18,71.81
AMZN,11-Apr-18,71.35
AMZN,12-Apr-18,72.43
AMZN,13-Apr-18,71.54
AMZN,16-Apr-18,72.08
AMZN,17-Apr-18,75.19
AMZN,18-Apr-18,76.39
AMZN,19-Apr-18,77.85
AMZN,20-Apr-18,76.37
AMZN,23-Apr-18,75.89
AMZN,24-Apr-18,73
AMZN,25-Apr-18,73.01
AMZN,26-Apr-18,75.9
AMZN,27-Apr-18,78.63
AMZN,30-Apr-18,78.31
AMZN,01-May-18,79.11
AMZN,02-May-18,78.48
AMZN,03-May-18,78.6
AMZN,04-May-18,79.05
AMZN,07-May-18,80.01
AMZN,08-May-18,79.62
AMZN,09-May-18,80.4
AMZN,10-May-18,80.45
AMZN,11-May-18,80.15
AMZN,14-May-18,80.08
AMZN,15-May-18,78.81
AMZN,16-May-18,79.36
AMZN,17-May-18,79.09
AMZN,18-May-18,78.72
AMZN,21-May-18,79.27
AMZN,22-May-18,79.07
AMZN,23-May-18,80.09
AMZN,24-May-18,80.15
AMZN,25-May-18,80.51
AMZN,29-May-18,80.64
AMZN,30-May-18,81.24
AMZN,31-May-18,81.24
AMZN,01-Jun-18,82.08
AMZN,04-Jun-18,83.26
AMZN,05-Jun-18,84.82
AMZN,06-Jun-18,84.79
AMZN,07-Jun-18,84.47
AMZN,08-Jun-18,84.2
AMZN,11-Jun-18,84.46
AMZN,12-Jun-18,84.94
AMZN,13-Jun-18,85.24
AMZN,14-Jun-18,86.19
AMZN,15-Jun-18,85.8
AMZN,18-Jun-18,86.19
AMZN,19-Jun-18,86.74
AMZN,20-Jun-18,87.5
AMZN,21-Jun-18,86.51
AMZN,22-Jun-18,85.78
AMZN,25-Jun-18,83.16
AMZN,26-Jun-18,84.55
AMZN,27-Jun-18,83.03
AMZN,28-Jun-18,85.07
AMZN,29-Jun-18,84.99
AMZN,02-Jul-18,85.69
AMZN,03-Jul-18,84.7
AMZN,05-Jul-18,84.99
AMZN,06-Jul-18,85.53
AMZN,09-Jul-18,86.95
AMZN,10-Jul-18,87.15
AMZN,11-Jul-18,87.75
AMZN,12-Jul-18,89.83
AMZN,13-Jul-18,90.65
AMZN,16-Jul-18,91.12
AMZN,17-Jul-18,92.2
AMZN,18-Jul-18,92.15
AMZN,19-Jul-18,90.65
AMZN,20-Jul-18,90.69
AMZN,23-Jul-18,90.1
AMZN,24-Jul-18,91.46
AMZN,25-Jul-18,93.18
AMZN,26-Jul-18,90.4
AMZN,27-Jul-18,90.86
AMZN,30-Jul-18,88.96
AMZN,31-Jul-18,88.87
AMZN,01-Aug-18,89.86
AMZN,02-Aug-18,91.72
AMZN,03-Aug-18,91.16
AMZN,06-Aug-18,92.39
AMZN,07-Aug-18,93.12
AMZN,08-Aug-18,94.33
AMZN,09-Aug-18,94.93
AMZN,10-Aug-18,94.32
AMZN,13-Aug-18,94.81
AMZN,14-Aug-18,95.98
AMZN,15-Aug-18,94.13
AMZN,16-Aug-18,94.33
AMZN,17-Aug-18,94.11
AMZN,20-Aug-18,93.84
AMZN,21-Aug-18,94.17
AMZN,22-Aug-18,95.25
AMZN,23-Aug-18,95.15
AMZN,24-Aug-18,95.27
AMZN,27-Aug-18,96.38
AMZN,28-Aug-18,96.64
AMZN,29-Aug-18,99.91
AMZN,30-Aug-18,100.12
AMZN,31-Aug-18,100.64
AMZN,04-Sep-18,101.98
AMZN,05-Sep-18,99.74
AMZN,06-Sep-18,97.92
AMZN,07-Sep-18,97.6
AMZN,10-Sep-18,96.95
AMZN,11-Sep-18,99.36
AMZN,12-Sep-18,99.5
AMZN,13-Sep-18,99.49
AMZN,14-Sep-18,98.51
AMZN,17-Sep-18,95.4
AMZN,18-Sep-18,97.05
AMZN,19-Sep-18,96.32
AMZN,20-Sep-18,97.22
AMZN,21-Sep-18,95.75
AMZN,24-Sep-18,96.72
AMZN,25-Sep-18,98.73
AMZN,26-Sep-18,98.74
AMZN,27-Sep-18,100.65
AMZN,28-Sep-18,100.15
AMZN,01-Oct-18,100.22
AMZN,02-Oct-18,98.57
AMZN,03-Oct-18,97.64
AMZN,04-Oct-18,95.47
AMZN,05-Oct-18,94.48
AMZN,08-Oct-18,93.22
AMZN,09-Oct-18,93.52
AMZN,10-Oct-18,87.76
AMZN,11-Oct-18,85.97
AMZN,12-Oct-18,89.43
AMZN,15-Oct-18,88.05
AMZN,16-Oct-18,91
AMZN,17-Oct-18,91.59
AMZN,18-Oct-18,88.54
AMZN,19-Oct-18,88.2
AMZN,22-Oct-18,89.47
AMZN,23-Oct-18,88.44
AMZN,24-Oct-18,83.21
AMZN,25-Oct-18,89.11
AMZN,26-Oct-18,82.14
AMZN,29-Oct-18,76.94
AMZN,30-Oct-18,76.52
