Symbol,Date,Close
SHOP,19-Mar-18,14.56
SHOP,20-Mar-18,15.31
SHOP,21-Mar-18,14.94
SHOP,22-Mar-18,14.55
SHOP,23-Mar-18,14.17
SHOP,26-Mar-18,13.67
SHOP,27-Mar-18,12.88
SHOP,28-Mar-18,12.16
SHOP,29-Mar-18,12.46
SHOP,02-Apr-18,12.21
SHOP,03-Apr-18,11.94
SHOP,04-Apr-18,12.07
SHOP,05-Apr-18,12.01
SHOP,06-Apr-18,11.74
SHOP,09-Apr-18,11.9
SHOP,10-Apr-18,12.29
SHOP,11-Apr-18,11.95
SHOP,12-Apr-18,12.08
SHOP,13-Apr-18,11.75
SHOP,16-Apr-18,11.69
SHOP,17-Apr-18,12.6
SHOP,18-Apr-18,12.76
SHOP,19-Apr-18,12.67
SHOP,20-Apr-18,12.68
SHOP,23-Apr-18,12.29
SHOP,24-Apr-18,12.31
SHOP,25-Apr-18,12
SHOP,26-Apr-18,12.42
SHOP,27-Apr-18,12.66
SHOP,30-Apr-18,13.36
SHOP,01-May-18,12.77
SHOP,02-May-18,12.48
SHOP,03-May-18,13.52
SHOP,04-May-18,13.61
SHOP,07-May-18,13.86
SHOP,08-May-18,14.33
SHOP,09-May-18,14.61
SHOP,10-May-18,14.62
SHOP,11-May-18,14.45
SHOP,14-May-18,14.26
SHOP,15-May-18,14.25
SHOP,16-May-18,14.23
SHOP,17-May-18,14.61
SHOP,18-May-18,14.71
SHOP,21-May-18,14.45
SHOP,22-May-18,13.88
SHOP,23-May-18,14.08
SHOP,24-May-18,14.31
SHOP,25-May-18,14.36
SHOP,29-May-18,14.33
SHOP,30-May-18,14.58
SHOP,31-May-18,14.81
SHOP,01-Jun-18,15.08
SHOP,04-Jun-18,15.69
SHOP,05-Jun-18,16.11
SHOP,06-Jun-18,16.54
SHOP,07-Jun-18,16.13
SHOP,08-Jun-18,16.28
SHOP,11-Jun-18,16.02
SHOP,12-Jun-18,16.52
SHOP,13-Jun-18,16.51
SHOP,14-Jun-18,16.79
SHOP,15-Jun-18,16.84
SHOP,18-Jun-18,17.28
SHOP,19-Jun-18,17.06
SHOP,20-Jun-18,17.23
SHOP,21-Jun-18,16.45
SHOP,22-Jun-18,16.25
SHOP,25-Jun-18,15.32
SHOP,26-Jun-18,15.5
SHOP,27-Jun-18,14.47
SHOP,28-Jun-18,14.66
SHOP,29-Jun-18,14.59
SHOP,02-Jul-18,14.94
SHOP,03-Jul-18,15.05
SHOP,05-Jul-18,15.27
SHOP,06-Jul-18,15.68
SHOP,09-Jul-18,15.85
SHOP,10-Jul-18,15.9
