Date,Close
16-Mar-20,84.46
17-Mar-20,90.39
18-Mar-20,91.5
19-Mar-20,94.05
20-Mar-20,92.3
23-Mar-20,95.14
24-Mar-20,97.01
25-Mar-20,94.29
26-Mar-20,97.77
27-Mar-20,95.01
30-Mar-20,98.2
31-Mar-20,97.49
01-Apr-20,95.39
02-Apr-20,95.94
03-Apr-20,95.33
06-Apr-20,99.88
07-Apr-20,100.58
08-Apr-20,102.15
09-Apr-20,102.14
13-Apr-20,108.44
14-Apr-20,114.17
15-Apr-20,115.38
16-Apr-20,120.41
17-Apr-20,118.75
20-Apr-20,119.68
21-Apr-20,116.41
22-Apr-20,118.17
23-Apr-20,119.97
24-Apr-20,120.51
27-Apr-20,118.8
28-Apr-20,115.7
29-Apr-20,118.64
30-Apr-20,123.7
01-May-20,114.3
04-May-20,115.8
05-May-20,115.89
06-May-20,117.56
07-May-20,118.38
08-May-20,118.98
11-May-20,120.45
12-May-20,117.85
13-May-20,118.4
14-May-20,119.44
15-May-20,120.49
18-May-20,121.31
19-May-20,122.47
20-May-20,124.9
21-May-20,122.34
22-May-20,121.84
26-May-20,121.09
27-May-20,120.52
28-May-20,120.06
29-May-20,122.12
01-Jun-20,123.55
02-Jun-20,123.62
03-Jun-20,123.92
04-Jun-20,123.03
05-Jun-20,124.15
08-Jun-20,126.2
09-Jun-20,130.04
10-Jun-20,132.37
11-Jun-20,127.9
12-Jun-20,127.25
15-Jun-20,128.63
16-Jun-20,130.76
17-Jun-20,132.05
18-Jun-20,132.7
19-Jun-20,133.75
22-Jun-20,135.69
23-Jun-20,138.22
24-Jun-20,136.72
25-Jun-20,137.73
26-Jun-20,134.64
29-Jun-20,134.02
30-Jun-20,137.94
01-Jul-20,143.94
02-Jul-20,144.51
06-Jul-20,152.85
07-Jul-20,150.01
08-Jul-20,154.06
09-Jul-20,159.13
10-Jul-20,160
13-Jul-20,155.2
14-Jul-20,154.2
15-Jul-20,150.44
16-Jul-20,150
17-Jul-20,148.1
20-Jul-20,159.84
21-Jul-20,156.91
22-Jul-20,155
23-Jul-20,149.33
24-Jul-20,150.45
27-Jul-20,152.76
28-Jul-20,150.02
29-Jul-20,151.68
30-Jul-20,152.59
31-Jul-20,158.23
03-Aug-20,155.59
04-Aug-20,156.94
05-Aug-20,160.25
06-Aug-20,161.25
07-Aug-20,158.37
10-Aug-20,157.41
11-Aug-20,154.03
12-Aug-20,158.11
13-Aug-20,158.05
14-Aug-20,157.4
17-Aug-20,159.12
18-Aug-20,165.62
19-Aug-20,163.02
20-Aug-20,164.87
21-Aug-20,164.24
24-Aug-20,165.37
25-Aug-20,167.32
26-Aug-20,172.09
27-Aug-20,170
28-Aug-20,170.09
31-Aug-20,172.55
01-Sep-20,174.96
02-Sep-20,176.57
03-Sep-20,168.4
04-Sep-20,164.73
08-Sep-20,157.49
09-Sep-20,163.43
10-Sep-20,158.76
11-Sep-20,155.81
14-Sep-20,155.15
15-Sep-20,157.81
16-Sep-20,153.91
17-Sep-20,150.44
18-Sep-20,147.75
21-Sep-20,148.02
22-Sep-20,156.45
23-Sep-20,149.99
24-Sep-20,150.99
25-Sep-20,154.76
28-Sep-20,158.7
29-Sep-20,157.24
30-Sep-20,157.44
01-Oct-20,161.06
02-Oct-20,156.25
05-Oct-20,159.96
06-Oct-20,155
07-Oct-20,159.78
08-Oct-20,159.53
09-Oct-20,164.33
12-Oct-20,172.15
13-Oct-20,172.18
14-Oct-20,168.19
15-Oct-20,166.93
16-Oct-20,163.64
19-Oct-20,160.36
20-Oct-20,160.85
21-Oct-20,159.25
22-Oct-20,158.82
23-Oct-20,160.22
26-Oct-20,160.35
27-Oct-20,164.32
28-Oct-20,158.14
29-Oct-20,160.55
30-Oct-20,151.81
02-Nov-20,150.22
03-Nov-20,152.42
04-Nov-20,162.06
05-Nov-20,166.1
06-Nov-20,165.57
09-Nov-20,157.19
10-Nov-20,151.75
11-Nov-20,156.87
12-Nov-20,155.51
13-Nov-20,156.44
16-Nov-20,156.55
17-Nov-20,156.78
18-Nov-20,155.27
19-Nov-20,155.85
20-Nov-20,154.97
23-Nov-20,154.92
24-Nov-20,155.9
25-Nov-20,159.25
27-Nov-20,159.77
30-Nov-20,158.4
01-Dec-20,161
02-Dec-20,160.18
03-Dec-20,159.34
04-Dec-20,158.13
07-Dec-20,157.9
08-Dec-20,158.86
09-Dec-20,155.21
10-Dec-20,155.07
11-Dec-20,155.82
14-Dec-20,157.85
15-Dec-20,158.26
16-Dec-20,162.05
17-Dec-20,161.8
18-Dec-20,160.08
21-Dec-20,160.31
22-Dec-20,160.33
23-Dec-20,159.26
24-Dec-20,158.63
28-Dec-20,164.2
29-Dec-20,166.1
30-Dec-20,164.29
31-Dec-20,162.85
04-Jan-21,159.33
05-Jan-21,160.93
06-Jan-21,156.92
07-Jan-21,158.11
08-Jan-21,159.14
11-Jan-21,155.71
12-Jan-21,156.04
13-Jan-21,158.29
14-Jan-21,156.37
15-Jan-21,155.21
19-Jan-21,156.04
20-Jan-21,163.17
21-Jan-21,165.35
22-Jan-21,164.61
25-Jan-21,164.7
26-Jan-21,166.31
27-Jan-21,161.63
28-Jan-21,161.88
29-Jan-21,160.31
01-Feb-21,167.14
02-Feb-21,169
03-Feb-21,165.63
04-Feb-21,166.55
05-Feb-21,167.61
08-Feb-21,166.15
09-Feb-21,165.25
10-Feb-21,164.33
11-Feb-21,163.11
12-Feb-21,163.89
16-Feb-21,163.45
17-Feb-21,165.43
18-Feb-21,166.41
19-Feb-21,162.5
22-Feb-21,159.04
23-Feb-21,159.73
24-Feb-21,157.98
25-Feb-21,152.86
26-Feb-21,154.65
01-Mar-21,157.31
02-Mar-21,154.73
03-Mar-21,150.25
04-Mar-21,148.88
05-Mar-21,150.02
08-Mar-21,147.6
09-Mar-21,153.14
10-Mar-21,152.88
11-Mar-21,155.68
12-Mar-21,154.47
15-Mar-21,154.08
16-Mar-21,154.59
17-Mar-21,156.79
18-Mar-21,151.4
19-Mar-21,153.75
22-Mar-21,155.54
23-Mar-21,156.88
24-Mar-21,154.35
25-Mar-21,152.31
26-Mar-21,152.6
29-Mar-21,153.79
30-Mar-21,152.76
31-Mar-21,154.7
01-Apr-21,158.05
05-Apr-21,161.34
06-Apr-21,161.19
07-Apr-21,163.97
08-Apr-21,164.97
09-Apr-21,168.61
