Date,Close
15-Jul-21,144.15
16-Jul-21,144.26
19-Jul-21,147.2
20-Jul-21,152.48
21-Jul-21,156.94
22-Jul-21,159.41
23-Jul-21,164.33
26-Jul-21,158.23
27-Jul-21,155.51
28-Jul-21,153.8
29-Jul-21,152.5
30-Jul-21,149.99
02-Aug-21,153.87
03-Aug-21,152.26
04-Aug-21,155.55
05-Aug-21,154.56
06-Aug-21,152.51
09-Aug-21,155
10-Aug-21,152.59
11-Aug-21,148.52
12-Aug-21,150.32
13-Aug-21,149.8
16-Aug-21,148.9
17-Aug-21,148.19
18-Aug-21,148.92
19-Aug-21,146.61
20-Aug-21,145.07
23-Aug-21,148.14
24-Aug-21,153.85
25-Aug-21,155.22
26-Aug-21,151.56
27-Aug-21,153.14
30-Aug-21,154.9
31-Aug-21,152.48
01-Sep-21,153.9
02-Sep-21,154.26
03-Sep-21,155.43
07-Sep-21,153.67
08-Sep-21,147.78
09-Sep-21,150.41
10-Sep-21,148.41
13-Sep-21,147.69
14-Sep-21,145.13
15-Sep-21,147.49
16-Sep-21,147.6
17-Sep-21,148.63
20-Sep-21,143.45
21-Sep-21,143.72
22-Sep-21,146.59
23-Sep-21,147.66
24-Sep-21,144.4
27-Sep-21,144.38
28-Sep-21,136.93
29-Sep-21,134.66
30-Sep-21,135.58
01-Oct-21,135.08
04-Oct-21,131.49
05-Oct-21,131.81
06-Oct-21,134.99
07-Oct-21,139.85
08-Oct-21,137.8
11-Oct-21,135.7
12-Oct-21,135.72
13-Oct-21,139.9
14-Oct-21,140.68
15-Oct-21,142.46
18-Oct-21,146.51
19-Oct-21,148.57
20-Oct-21,148.75
21-Oct-21,149.67
22-Oct-21,142.59
25-Oct-21,142.52
26-Oct-21,136.37
27-Oct-21,136.11
28-Oct-21,145.7
29-Oct-21,146.67
01-Nov-21,152.76
02-Nov-21,147.66
03-Nov-21,149.53
04-Nov-21,154.06
05-Nov-21,152.81
08-Nov-21,153.38
09-Nov-21,155.49
10-Nov-21,147.4
11-Nov-21,149.03
12-Nov-21,166.95
15-Nov-21,165.65
16-Nov-21,167.53
17-Nov-21,163.78
18-Nov-21,168.13
19-Nov-21,169.06
22-Nov-21,159.5
23-Nov-21,157.31
24-Nov-21,162.87
26-Nov-21,157.67
29-Nov-21,156.7
30-Nov-21,152.18
01-Dec-21,145.97
02-Dec-21,144.72
03-Dec-21,141
06-Dec-21,142.81
07-Dec-21,152.05
08-Dec-21,152.03
09-Dec-21,149.5
10-Dec-21,146.16
13-Dec-21,139.72
14-Dec-21,135.43
15-Dec-21,136.81
16-Dec-21,132.69
17-Dec-21,132.34
20-Dec-21,128.22
21-Dec-21,137.01
22-Dec-21,138.56
23-Dec-21,143.93
27-Dec-21,140.06
28-Dec-21,137.56
29-Dec-21,139.21
30-Dec-21,139.82
31-Dec-21,137.74
03-Jan-22,136.31
04-Jan-22,122.19
05-Jan-22,119
06-Jan-22,116.89
07-Jan-22,114.45
10-Jan-22,113.12
11-Jan-22,115.73
12-Jan-22,116.88
13-Jan-22,106.44
14-Jan-22,110.29
18-Jan-22,105.47
19-Jan-22,103.1
20-Jan-22,102.4
21-Jan-22,88.21
24-Jan-22,93.85
25-Jan-22,89.24
26-Jan-22,86.89
27-Jan-22,81.58
28-Jan-22,87.22
31-Jan-22,96.42
01-Feb-22,98.42
02-Feb-22,88.59
03-Feb-22,80.94
04-Feb-22,87.6
07-Feb-22,86.69
08-Feb-22,87.8
09-Feb-22,92.5
10-Feb-22,89.33
11-Feb-22,85.4
14-Feb-22,84.75
15-Feb-22,88.95
16-Feb-22,74.69
17-Feb-22,66
18-Feb-22,65.69
22-Feb-22,62.62
23-Feb-22,62.66
24-Feb-22,66.4
25-Feb-22,67.69
28-Feb-22,69.43
01-Mar-22,67.34
02-Mar-22,65.98
03-Mar-22,64.08
04-Mar-22,60.08
07-Mar-22,56.08
08-Mar-22,51.5
09-Mar-22,58.77
10-Mar-22,55.32
11-Mar-22,54.44
14-Mar-22,51.26
15-Mar-22,55.34
16-Mar-22,62.24
17-Mar-22,65.74
18-Mar-22,78
21-Mar-22,68.35
22-Mar-22,72.7
23-Mar-22,70.36
24-Mar-22,70.5
25-Mar-22,67.95
28-Mar-22,70.16
29-Mar-22,74.4
30-Mar-22,70.56
31-Mar-22,67.6
01-Apr-22,69.3
04-Apr-22,72.73
05-Apr-22,70.29
06-Apr-22,65.66
07-Apr-22,64.4
08-Apr-22,60.32
11-Apr-22,61.74
12-Apr-22,59.11
13-Apr-22,60.48
14-Apr-22,57.95
18-Apr-22,58.1
19-Apr-22,60.56
20-Apr-22,52.5
21-Apr-22,48.1
22-Apr-22,46
25-Apr-22,45.92
26-Apr-22,42.81
27-Apr-22,41.62
28-Apr-22,44.33
29-Apr-22,42.68
02-May-22,45.3
03-May-22,46.52
04-May-22,48.55
05-May-22,41.31
06-May-22,37.75
09-May-22,34
10-May-22,33.54
11-May-22,31.86
12-May-22,35.35
13-May-22,40.25
16-May-22,35.99
17-May-22,37.26
18-May-22,36.06
19-May-22,39.13
20-May-22,36.39
23-May-22,36.85
24-May-22,32.48
25-May-22,33.31
26-May-22,35.13
27-May-22,36.9
31-May-22,37.51
01-Jun-22,36.15
02-Jun-22,39.89
03-Jun-22,35.37
06-Jun-22,36.06
07-Jun-22,38.07
08-Jun-22,39.15
09-Jun-22,37.14
10-Jun-22,34.84
13-Jun-22,31.29
14-Jun-22,30.35
15-Jun-22,32.6
16-Jun-22,30.52
17-Jun-22,31.69
21-Jun-22,32.83
22-Jun-22,33.85
23-Jun-22,36.38
24-Jun-22,38.52
27-Jun-22,37.32
28-Jun-22,35.03
29-Jun-22,33.05
30-Jun-22,31.24
01-Jul-22,31.41
05-Jul-22,34
06-Jul-22,33.04
07-Jul-22,35.33
08-Jul-22,35.57
11-Jul-22,32.32
12-Jul-22,32.38
13-Jul-22,32.15
14-Jul-22,30.67
15-Jul-22,31.27
18-Jul-22,32.54
19-Jul-22,34.37
20-Jul-22,38.49
21-Jul-22,40.4
22-Jul-22,37.35
25-Jul-22,36.71
26-Jul-22,31.55
27-Jul-22,35.24
28-Jul-22,35.91
29-Jul-22,34.83
01-Aug-22,36.44
02-Aug-22,37.74
03-Aug-22,41.93
04-Aug-22,41.02
05-Aug-22,40.81
08-Aug-22,39.77
09-Aug-22,36.75
10-Aug-22,40.61
11-Aug-22,40.42
12-Aug-22,40.76
15-Aug-22,39.84
16-Aug-22,39.58
17-Aug-22,37.3
18-Aug-22,36.86
19-Aug-22,34.2
22-Aug-22,33.18
23-Aug-22,32.47
24-Aug-22,33.29
25-Aug-22,34.34
26-Aug-22,32.42
29-Aug-22,31.94
30-Aug-22,31.36
31-Aug-22,31.65
01-Sep-22,31.27
02-Sep-22,30.11
06-Sep-22,29.84
07-Sep-22,30.98
08-Sep-22,31.94
09-Sep-22,34.81
12-Sep-22,35.16
13-Sep-22,32.7
14-Sep-22,33.69
15-Sep-22,33.85
16-Sep-22,31.73
19-Sep-22,32.94
20-Sep-22,30.95
21-Sep-22,30.55
22-Sep-22,28.57
23-Sep-22,28.76
26-Sep-22,28.25
27-Sep-22,27.85
28-Sep-22,29.24
29-Sep-22,26.77
30-Sep-22,26.94
03-Oct-22,27.76
04-Oct-22,31.53
05-Oct-22,30.83
06-Oct-22,30.06
07-Oct-22,27.21
10-Oct-22,26.45
11-Oct-22,25.67
12-Oct-22,25.99
13-Oct-22,26.24
14-Oct-22,26.06
17-Oct-22,27.76
18-Oct-22,28.73
19-Oct-22,28.35
20-Oct-22,29.73
21-Oct-22,29.75
24-Oct-22,28.75
25-Oct-22,29.83
26-Oct-22,29.06
27-Oct-22,34.1
28-Oct-22,34.19
31-Oct-22,34.23
01-Nov-22,34.79
02-Nov-22,33.51
03-Nov-22,33.74
04-Nov-22,32.15
07-Nov-22,32.24
08-Nov-22,32.8
09-Nov-22,30.9
10-Nov-22,36.51
11-Nov-22,39.44
14-Nov-22,38.4
15-Nov-22,40.02
16-Nov-22,38.51
17-Nov-22,37.72
18-Nov-22,36.59
21-Nov-22,35.21
22-Nov-22,35.28
23-Nov-22,36.77
25-Nov-22,36.79
28-Nov-22,38.03
29-Nov-22,37.15
30-Nov-22,40.88
01-Dec-22,43.4
02-Dec-22,43.06
05-Dec-22,40.79
06-Dec-22,38.97
07-Dec-22,38.49
08-Dec-22,38.64
09-Dec-22,38.38
12-Dec-22,38.38
13-Dec-22,38.78
14-Dec-22,38.24
15-Dec-22,36.39
16-Dec-22,36.09
19-Dec-22,35.5
20-Dec-22,35.99
21-Dec-22,36.19
22-Dec-22,34.68
23-Dec-22,33.71
27-Dec-22,33.39
28-Dec-22,32.64
29-Dec-22,35.1
30-Dec-22,34.71
03-Jan-23,35.68
04-Jan-23,37.54
05-Jan-23,35.95
06-Jan-23,36.85
09-Jan-23,37.19
10-Jan-23,36.5
11-Jan-23,36.44
12-Jan-23,36.76
13-Jan-23,38.89
17-Jan-23,39.98
18-Jan-23,39.17
19-Jan-23,38.06
20-Jan-23,40.48
23-Jan-23,44.04
24-Jan-23,42.69
25-Jan-23,47.33
26-Jan-23,48.33
27-Jan-23,50.08
30-Jan-23,47.19
31-Jan-23,49.27
01-Feb-23,50.26
02-Feb-23,53.63
03-Feb-23,52.93
06-Feb-23,51.57
07-Feb-23,51.35
08-Feb-23,49.8
09-Feb-23,49.64
10-Feb-23,48.3
13-Feb-23,48.7
14-Feb-23,50.11
15-Feb-23,53.39
16-Feb-23,44.91
17-Feb-23,43.61
21-Feb-23,41.42
22-Feb-23,42.03
23-Feb-23,42.38
24-Feb-23,40.75
27-Feb-23,40.48
28-Feb-23,41.14
01-Mar-23,40.1
02-Mar-23,41.18
03-Mar-23,43.4
06-Mar-23,43.48
07-Mar-23,42.46
08-Mar-23,43.7
09-Mar-23,43
10-Mar-23,41.46
13-Mar-23,41.78
14-Mar-23,43.8
15-Mar-23,43.54
