Symbol,Date,Close
AAPL,19-Mar-18,43.83
AAPL,20-Mar-18,43.81
AAPL,21-Mar-18,42.82
AAPL,22-Mar-18,42.21
AAPL,23-Mar-18,41.24
AAPL,26-Mar-18,43.19
AAPL,27-Mar-18,42.09
AAPL,28-Mar-18,41.62
AAPL,29-Mar-18,41.95
AAPL,02-Apr-18,41.67
AAPL,03-Apr-18,42.1
AAPL,04-Apr-18,42.9
AAPL,05-Apr-18,43.2
AAPL,06-Apr-18,42.1
AAPL,09-Apr-18,42.51
AAPL,10-Apr-18,43.31
AAPL,11-Apr-18,43.11
AAPL,12-Apr-18,43.54
AAPL,13-Apr-18,43.68
AAPL,16-Apr-18,43.96
AAPL,17-Apr-18,44.56
AAPL,18-Apr-18,44.46
AAPL,19-Apr-18,43.2
AAPL,20-Apr-18,41.43
AAPL,23-Apr-18,41.31
AAPL,24-Apr-18,40.74
AAPL,25-Apr-18,40.91
AAPL,26-Apr-18,41.06
AAPL,27-Apr-18,40.58
AAPL,30-Apr-18,41.32
AAPL,01-May-18,42.28
AAPL,02-May-18,44.14
AAPL,03-May-18,44.22
AAPL,04-May-18,45.96
AAPL,07-May-18,46.29
AAPL,08-May-18,46.51
AAPL,09-May-18,46.84
AAPL,10-May-18,47.51
AAPL,11-May-18,47.15
AAPL,14-May-18,47.04
AAPL,15-May-18,46.61
AAPL,16-May-18,47.05
AAPL,17-May-18,46.75
AAPL,18-May-18,46.58
AAPL,21-May-18,46.91
AAPL,22-May-18,46.79
AAPL,23-May-18,47.09
AAPL,24-May-18,47.04
AAPL,25-May-18,47.15
AAPL,29-May-18,46.98
AAPL,30-May-18,46.88
AAPL,31-May-18,46.72
AAPL,01-Jun-18,47.56
AAPL,04-Jun-18,47.96
AAPL,05-Jun-18,48.33
AAPL,06-Jun-18,48.5
AAPL,07-Jun-18,48.37
AAPL,08-Jun-18,47.93
AAPL,11-Jun-18,47.81
AAPL,12-Jun-18,48.07
AAPL,13-Jun-18,47.68
AAPL,14-Jun-18,47.7
AAPL,15-Jun-18,47.21
AAPL,18-Jun-18,47.19
AAPL,19-Jun-18,46.42
